"Day","Meeting Time","Group Name","Location Name","Address","City"
"Thursday","8:00pm","Lakeside Group","First Presbyterian Church-Garner","503 Lakeside Dr.","Garner"
"Thursday","12:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Thursday","8:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Thursday","7:00pm","There Is A Solution","Holly Springs United Methodist Church","108 Avent Ferry Rd","Holly Springs"
"Thursday","12:00pm","Crossroads in Recovery","Crossroads Church","1301 S Main Street","Lillington"
"Thursday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Thursday","7:30am","Daily Reprieve","St. Francis of Assisi Catholic Church","11401 Leesville Rd","Raleigh"
"Thursday","8:00am","Jaywalkers","Pullen Memorial Baptist Church","1801 Hillsborough St.","Raleigh"
"Thursday","10:30am","Early Risers Group","Longview Methodist Church","2312 Milburnie Rd.","Raleigh"
"Thursday","12:00pm","First Things First Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Thursday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Thursday","12:00pm","Tuesday - Thursday-Nooners","Hillyer Memorial","718 Hillsborough St","Raleigh"
"Thursday","12:30pm","Epiphany Group","Hayes Barton Baptist Church","1800 Glenwood ave","Raleigh"
"Thursday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Thursday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Thursday","5:30pm","Happy Hour Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Thursday","5:45pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Thursday","6:30pm","Courage to Change Group","Grace AME Zion Church","1401 Boyer Street","Raleigh"
"Thursday","7:00pm","Channel of Serenity","North Raleigh Church of Christ","8701 Falls of Neuse Rd","Raleigh"
"Thursday","7:00pm","Gratitude Study Group","First Baptist Church","99 N Salisbury St","Raleigh"
"Thursday","7:00pm","North Raleigh Big Book Study Group","St Raphael Catholic Church","5801 Falls of Neuse Rd","Raleigh"
"Thursday","7:00pm","Sharing the Promises","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Thursday","7:00pm","Sobriety First","Jenkins Memorial Methodist Church","725 N. Boylan Ave.","Raleigh"
"Thursday","7:00pm","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Thursday","7:30pm","Honeycutt Road Group","North Raleigh United Methodist Church","8501 Honeycutt Rd","Raleigh"
"Thursday","8:00pm","Atheists and Agnostics","Pearl Cafe","2526 Hillsborough","Raleigh"
"Thursday","8:00pm","Back to Basics","St Marks United Methodist Church","4801 Six Forks Rd","Raleigh"
"Thursday","8:00pm","Big Book Group","Holy Trinity Lutheran Church","2723 Clark Ave.","Raleigh"
"Thursday","8:00pm","Fairview Road Group","Ridge Road Baptist Church","2011 Ridge Road","Raleigh"
"Thursday","8:00pm","Light Group","St John's Metropolitan Comm. Church","805 Glenwood Ave.","Raleigh"
"Thursday","8:00pm","New Inner City Group","Hillyer Memorial","718 Hillsborough St","Raleigh"
"Thursday","8:00pm","Principles Group","St Mark's Episcopal Church","1725 North New Hope Rd.","Raleigh"
"Thursday","8:00pm","Road to Recovery","Holland's United Methodist Church","9433 Ten-Ten Rd","Raleigh"
"Thursday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Thursday","8:00pm","Twelve & Twelve Group","Hudson Memorial Presbyterian Church","4921 Six Forks Rd.","Raleigh"
"Thursday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Thursday","12:00pm","Wake Forest Nooners","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Thursday","8:00pm","Mitchell Mill Group","Grace Assembly","2405 Waite Ave","Wake Forest"
"Thursday","8:00pm","Wake Forest Group","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Thursday","7:00pm","By God's Grace","St Eugene's Catholic Church","608 Lions Club Rd","Wendell"
"Thursday","8:00pm","Divina Providencia","SPANISH - Divina Providencia Meets Here","608 Lions Club Road","Wendell"
"Friday","8:00pm","","","",""
"Friday","8:00pm","Country Group","","",""
"Friday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Friday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Friday","12:00pm","One Noon at a Time Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Friday","8:00pm","Apex Group","Apex Masonic Lodge","408 E williams st","Apex"
"Friday","6:05am","Eye-Opener","Hope Community Church","821 Buck Jones Rd","Cary"
"Friday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","9:00am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","12:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","6:00pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","6:00pm","The Promises Group","Christ the King Lutheran Church","600 Walnut St.","Cary"
"Friday","7:00pm","Log Cabin Group","Kirk of Kildare Presbyterian","200 High Meadow Dr.","Cary"
"Friday","8:00pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","8:00pm","Regla #62","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","8:00pm","YRAC Big Book","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","11:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Friday","12:00pm","RTP Lunch Bunch","Cedar Forks Baptist Church","5117 S. Miami Blvd.","Durham"
"Friday","6:30am","Sunrise Surrender","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Friday","12:00pm","Lunch Bunch","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Friday","6:00pm","Bridge To Life","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Friday","8:00pm","Living Sober Group","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Friday","9:30pm","11th Step at 11 Group","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Friday","8:00pm","Fuquay-Varina Group","Fellowship Bible Church","401 S. Main St.","Fuquay-Varina"
"Friday","12:00pm","A New Freedom","The Capital Church","1308 Hwy 70 West","Garner"
"Friday","6:30pm","Basics for Beginners","Sovereign King Church","527 PLAZA CIRCLE","Garner"
"Friday","8:00pm","Promises Of A New Beginning Group","Garner United Methodist Church","201 Methodist Dr.","Garner"
"Friday","12:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Friday","5:30pm","New Start Group","Church of the Holy Innocents","210 S. Chestnut St","Henderson"
"Friday","11:00am","Fellowship of the Spirit","Holly Springs United Methodist Church","108 Avent Ferry Rd","Holly Springs"
"Friday","8:00pm","Knightdale Group","Knightdale United Methodist Church","7071 Forestville Road","Knightdale"
"Friday","12:00pm","Crossroads in Recovery","Crossroads Church","1301 S Main Street","Lillington"
"Friday","8:00pm","Country Group","Rocky Chapel Baptist Church","988 Sykes Road","Louisburg"
"Friday","6:30am","Traditions","Jenkins Memorial Methodist Church","725 N. Boylan Ave.","Raleigh"
"Friday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Friday","7:30am","Daily Reprieve","St. Francis of Assisi Catholic Church","11401 Leesville Rd","Raleigh"
"Friday","11:00am","TGIF","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Friday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Friday","12:00pm","The Upper Room","First Step Services","211 Six Forks Road, Suite 117","Raleigh"
"Friday","12:00pm","Upper Room","","211 East Six Forks Road","Raleigh"
"Friday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Friday","12:30pm","Oasis Group","St Andrews Presbyterian Church","7506 Falls of the Neuse Rd","Raleigh"
"Friday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Friday","5:30pm","Happy Hour Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Friday","5:45pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Friday","6:30pm","36 Chambers","Pullen Memorial Baptist Church","1801 Hillsborough St.","Raleigh"
"Friday","6:30pm","Stepping Stones","Women's Healing Place of Wake County","3304 Glen Royal Rd","Raleigh"
"Friday","6:30pm","Turning Point Group","Wake Medical Center","3000 New Bern Ave","Raleigh"
"Friday","8:00pm","Brickhouse Group","Greystone Baptist Church","7509 Leadmine Rd.","Raleigh"
"Friday","8:00pm","Discovery Group","Fairmont United Methodist Church","2501 Clark Ave","Raleigh"
"Friday","8:00pm","Downtown Group","","124 South Salsbury St.","Raleigh"
"Friday","8:00pm","Hayes Barton Group","White Memorial Presbyterian Church","1704 Oberlin Rd","Raleigh"
"Friday","8:00pm","Light Group","St John's Metropolitan Comm. Church","805 Glenwood Ave.","Raleigh"
"Friday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Friday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Friday","8:00pm","We Agnostics","Intergroup Office"," 3948 Browning Place - Room 347","Raleigh"
"Friday","8:00pm","Westminster Group","Westminister Presbyterian Church","301 East Whitaker Mill Rd.","Raleigh"
"Friday","8:00pm","Young People's Group","St Phillip Lutheran Church","7304 Falls of the Neuse Rd","Raleigh"
"Friday","12:00pm","Wake Forest Nooners","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Friday","8:00pm","Warren County Group","Wesley Memorial Methodist Church","210 N. Main St.","Warrenton"
"Friday","8:00pm","Zebulon Group","Zebulon Methodist Church","118 W. Sycamore St.","Zebulon"
"Saturday","8:30am"," 11th Step Prayer and Meditation Meeting","","",""
"Saturday","8:00pm"," 11th Step Prayer and Meditation Meeting","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Saturday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Saturday","8:00am","One Chapter at a Time","New Horizons Fellowship","820 East Williams Street","Apex"
"Saturday","7:00pm","Holly Springs Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Saturday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","8:00am","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","8:30am","The Haven","St Pauls Episcopal Church","221 Union St.","Cary"
"Saturday","12:30pm","Keep It Simple Group","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","6:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","7:00pm","Cary 12 Step Group","St Pauls Episcopal Church","221 Union St.","Cary"
"Saturday","8:00pm","Cary Young People's Group","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","11:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Saturday","8:00am","Primary Purpose Group of Clayton","Stellar Peer Recovery Center","440 E. Main St","Clayton"
"Saturday","9:00am","Wake Forest Twelve & Twelve","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Saturday","6:30pm","Progress Not Perfection","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Saturday","8:00pm","Solution","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Saturday","8:00pm","Garner Big Book Group","Ernest Myatt Presbyterian Church","4926 Fayetteville Rd.","Garner"
"Saturday","8:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Saturday","9:00am","Friends of Dr. Bob","Lake Gaston","246 West Winds","Macon/Lake Gaston"
"Saturday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Saturday","8:00am","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Saturday","8:00am","Keep It Simple Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Saturday","8:00am","Spiritual Awakenings","St Marks United Methodist Church","4801 Six Forks Rd","Raleigh"
"Saturday","8:30am"," 11th Step Prayer and Meditation Meeting","Hayes Barton Baptist Church","1800 Glenwood ave","Raleigh"
"Saturday","8:30am","Journey AA","Journey Church","3500 Spring Forest Rd","Raleigh"
"Saturday","8:30am","North Raleigh Group","Soapstone Chapel","10301 Old Creedmoor Rd","Raleigh"
"Saturday","9:30am","Saturday Morning Woman's Group","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Saturday","10:00am","Journey AA","Journey Church","3500 Spring Forest Rd","Raleigh"
"Saturday","10:00am","North Raleigh Group","Soapstone Chapel","10301 Old Creedmoor Rd","Raleigh"
"Saturday","10:30am","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Saturday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Saturday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Saturday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Saturday","5:00pm","Weekender's Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Saturday","6:30pm","2001 Group","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Saturday","6:30pm","Multiple","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Saturday","7:00pm","Hills Group","St Timothy's Episcopal Church","4523 Six Forks Rd.","Raleigh"
"Saturday","7:00pm","Saturday Night Live","St Phillip Lutheran Church","7304 Falls of the Neuse Rd","Raleigh"
"Saturday","8:00pm","Cameron Village Candlelight Group","Fairmont United Methodist Church","2501 Clark Ave","Raleigh"
"Saturday","8:00pm","Crabtree Discussion Group","Highland United Methodist Church","1901 Ridge Road","Raleigh"
"Saturday","8:00pm","Fellowship Group","Christ Episcopal Church","120 E. Edenton St.","Raleigh"
"Saturday","8:00pm","Light Group","St John's Metropolitan Comm. Church","805 Glenwood Ave.","Raleigh"
"Saturday","8:00pm","New Hope Group","St Mark's Episcopal Church","1725 North New Hope Rd.","Raleigh"
"Saturday","8:00pm","St. Ambrose Group","St Ambrose Episcopal Church","813 Darby Dr.","Raleigh"
"Saturday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Saturday","8:00pm","Unity Group","New Hope Baptist Church","4301 Louisburg Rd.","Raleigh"
"Saturday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Saturday","12:00pm","Acceptance Group","St Catherine of Siena Parish","520 W Holding Ave","Wake Forest"
"Saturday","8:00pm","Youngsville Group","Youngsville Baptist Church","315 E. Main St.","Youngsville"
"Saturday","11:00am","11th Step at 11 Group","Pearce Baptist Church","4636 Pearce Rd.","Zebulon"
